Naam;Datum;Prijs
ETH;2017-01-01;8.47
ETH;2017-01-02;8.44
ETH;2017-01-03;10
ETH;2017-01-04;11.28
ETH;2017-01-05;11.89
ETH;2017-01-06;10.63
ETH;2017-01-07;10.28
ETH;2017-01-08;10.39
ETH;2017-01-09;10.78
ETH;2017-01-10;10.69
ETH;2017-01-11;10.66
ETH;2017-01-12;10.08
ETH;2017-01-13;9.85
ETH;2017-01-14;9.89
ETH;2017-01-15;10
ETH;2017-01-16;9.93
ETH;2017-01-17;10.61
ETH;2017-01-18;10.52
ETH;2017-01-19;10.44
ETH;2017-01-20;10.76
ETH;2017-01-21;10.98
ETH;2017-01-22;10.97
ETH;2017-01-23;10.84
ETH;2017-01-24;10.77
ETH;2017-01-25;10.62
ETH;2017-01-26;10.67
ETH;2017-01-27;10.61
ETH;2017-01-28;10.58
ETH;2017-01-29;10.57
ETH;2017-01-30;10.71
ETH;2017-01-31;10.75
ETH;2017-02-01;10.85
ETH;2017-02-02;10.89
ETH;2017-02-03;11.11
ETH;2017-02-04;11.5
ETH;2017-02-05;11.49
ETH;2017-02-06;11.48
ETH;2017-02-07;11.61
ETH;2017-02-08;11.63
ETH;2017-02-09;11.6
ETH;2017-02-10;11.34
ETH;2017-02-11;11.43
ETH;2017-02-12;11.4
ETH;2017-02-13;11.39
ETH;2017-02-14;13.33
ETH;2017-02-15;13.04
ETH;2017-02-16;12.92
ETH;2017-02-17;12.91
ETH;2017-02-18;12.83
ETH;2017-02-19;12.87
ETH;2017-02-20;12.9
ETH;2017-02-21;12.77
ETH;2017-02-22;12.76
ETH;2017-02-23;13.21
ETH;2017-02-24;13.23
ETH;2017-02-25;13.72
ETH;2017-02-26;14.54
ETH;2017-02-27;15.68
ETH;2017-02-28;16.06
ETH;2017-03-01;17.37
ETH;2017-03-02;19.35
ETH;2017-03-03;20.67
ETH;2017-03-04;20.05
ETH;2017-03-05;19.42
ETH;2017-03-06;20.1
ETH;2017-03-07;19.63
ETH;2017-03-08;18.88
ETH;2017-03-09;17.87
ETH;2017-03-10;19.66
ETH;2017-03-11;21.59
ETH;2017-03-12;23.44
ETH;2017-03-13;30.6
ETH;2017-03-14;29.93
ETH;2017-03-15;35.06
ETH;2017-03-16;47.17
ETH;2017-03-17;55.11
ETH;2017-03-18;46.87
