Naam;Datum;Prijs
LTC;2017-01-01;4.52
LTC;2017-01-02;4.74
LTC;2017-01-03;4.73
LTC;2017-01-04;4.84
LTC;2017-01-05;4.95
LTC;2017-01-06;4.35
LTC;2017-01-07;3.96
LTC;2017-01-08;4.02
LTC;2017-01-09;4.36
LTC;2017-01-10;4.68
LTC;2017-01-11;4.64
LTC;2017-01-12;4.02
LTC;2017-01-13;3.96
LTC;2017-01-14;3.95
LTC;2017-01-15;3.95
LTC;2017-01-16;3.96
LTC;2017-01-17;3.95
LTC;2017-01-18;3.95
LTC;2017-01-19;3.93
LTC;2017-01-20;3.91
LTC;2017-01-21;3.92
LTC;2017-01-22;3.92
LTC;2017-01-23;3.86
LTC;2017-01-24;3.84
LTC;2017-01-25;3.8
LTC;2017-01-26;3.84
LTC;2017-01-27;3.86
LTC;2017-01-28;3.87
LTC;2017-01-29;3.86
LTC;2017-01-30;4.02
LTC;2017-01-31;4.1
LTC;2017-02-01;4.13
LTC;2017-02-02;4.09
LTC;2017-02-03;4.11
LTC;2017-02-04;4.1
LTC;2017-02-05;4.07
LTC;2017-02-06;4.08
LTC;2017-02-07;4.08
LTC;2017-02-08;4.08
LTC;2017-02-09;4.08
LTC;2017-02-10;3.81
LTC;2017-02-11;3.8
LTC;2017-02-12;3.8
LTC;2017-02-13;3.77
LTC;2017-02-14;3.77
LTC;2017-02-15;3.82
LTC;2017-02-16;3.82
LTC;2017-02-17;3.84
LTC;2017-02-18;3.83
LTC;2017-02-19;3.79
LTC;2017-02-20;3.78
LTC;2017-02-21;3.8
LTC;2017-02-22;3.84
LTC;2017-02-23;3.85
LTC;2017-02-24;3.88
LTC;2017-02-25;3.86
LTC;2017-02-26;3.85
LTC;2017-02-27;3.83
LTC;2017-02-28;3.82
LTC;2017-03-01;3.81
LTC;2017-03-02;4.11
LTC;2017-03-03;4
LTC;2017-03-04;3.92
LTC;2017-03-05;3.9
LTC;2017-03-06;3.93
LTC;2017-03-07;3.91
LTC;2017-03-08;3.82
