Naam;Datum;Prijs
NEO;2017-01-01;0.147274
NEO;2017-01-02;0.147746
NEO;2017-01-03;0.147282
NEO;2017-01-04;0.142834
NEO;2017-01-05;0.143977
NEO;2017-01-06;0.139018
NEO;2017-01-07;0.135759
NEO;2017-01-08;0.134773
NEO;2017-01-09;0.13367
NEO;2017-01-10;0.13955
NEO;2017-01-11;0.13495
NEO;2017-01-12;0.124128
NEO;2017-01-13;0.124342
NEO;2017-01-14;0.12394
NEO;2017-01-15;0.132022
NEO;2017-01-16;0.123958
NEO;2017-01-17;0.122525
NEO;2017-01-18;0.123035
NEO;2017-01-19;0.123948
NEO;2017-01-20;0.124276
NEO;2017-01-21;0.127853
NEO;2017-01-22;0.119379
NEO;2017-01-23;0.130461
NEO;2017-01-24;0.128569
NEO;2017-01-25;0.129256
NEO;2017-01-26;0.135711
NEO;2017-01-27;0.135296
NEO;2017-01-28;0.137387
NEO;2017-01-29;0.14186
NEO;2017-01-30;0.15376
NEO;2017-01-31;0.153791
NEO;2017-02-01;0.150287
NEO;2017-02-02;0.147974
NEO;2017-02-03;0.14565
NEO;2017-02-04;0.147454
NEO;2017-02-05;0.143104
NEO;2017-02-06;0.138723
NEO;2017-02-07;0.136817
NEO;2017-02-08;0.134031
NEO;2017-02-09;0.132791
NEO;2017-02-10;0.13171
NEO;2017-02-11;0.127159
NEO;2017-02-12;0.137479
NEO;2017-02-13;0.13772
NEO;2017-02-14;0.121985
NEO;2017-02-15;0.120698
NEO;2017-02-16;0.126088
NEO;2017-02-17;0.130485
NEO;2017-02-18;0.130873
NEO;2017-02-19;0.124827
NEO;2017-02-20;0.127204
NEO;2017-02-21;0.127322
NEO;2017-02-22;0.124515
NEO;2017-02-23;0.122226
NEO;2017-02-24;0.136124
NEO;2017-02-25;0.12166
NEO;2017-02-26;0.115582
NEO;2017-02-27;0.118632
NEO;2017-02-28;0.118271
NEO;2017-03-01;0.135197
NEO;2017-03-02;0.135475
NEO;2017-03-03;0.124929
NEO;2017-03-04;0.125583
NEO;2017-03-05;0.12368
NEO;2017-03-06;0.124417
NEO;2017-03-07;0.123531
NEO;2017-03-08;0.128715
NEO;2017-03-09;0.140766
NEO;2017-03-10;0.141972
NEO;2017-03-11;0.142793
NEO;2017-03-12;0.14357
NEO;2017-03-13;0.140823
NEO;2017-03-14;0.137204
NEO;2017-03-15;0.140774
NEO;2017-03-16;0.136685
NEO;2017-03-17;0.166127
NEO;2017-03-18;0.172281
NEO;2017-03-19;0.163016
NEO;2017-03-20;0.162542
NEO;2017-03-21;0.167727
NEO;2017-03-22;0.179551
NEO;2017-03-23;0.176421
NEO;2017-03-24;0.178022
NEO;2017-03-25;0.167388
NEO;2017-03-26;0.175043
NEO;2017-03-27;0.191642
NEO;2017-03-28;0.235749
NEO;2017-03-29;0.225506
NEO;2017-03-30;0.22193
NEO;2017-03-31;0.213953
NEO;2017-04-01;0.206153
NEO;2017-04-02;0.206776
NEO;2017-04-03;0.205959
NEO;2017-04-04;0.202591
NEO;2017-04-05;0.192548
NEO;2017-04-06;0.190455
NEO;2017-04-07;0.192661
NEO;2017-04-08;0.193674
NEO;2017-04-09;0.191026
NEO;2017-04-10;0.220733
NEO;2017-04-11;0.211772
NEO;2017-04-12;0.200199
NEO;2017-04-13;0.196013
NEO;2017-04-14;0.19396
NEO;2017-04-15;0.194574
NEO;2017-04-16;0.19565
NEO;2017-04-17;0.192535
NEO;2017-04-18;0.192224
NEO;2017-04-19;0.190709
NEO;2017-04-20;0.191015
NEO;2017-04-21;0.185694
NEO;2017-04-22;0.188524
NEO;2017-04-23;0.185985
NEO;2017-04-24;0.177153
NEO;2017-04-25;0.184094
NEO;2017-04-26;0.188085
NEO;2017-04-27;0.20851
NEO;2017-04-28;0.229271
NEO;2017-04-29;0.29057
NEO;2017-04-30;0.362409
NEO;2017-05-01;0.361689
NEO;2017-05-02;0.326074
NEO;2017-05-03;0.348589
NEO;2017-05-04;0.500403
NEO;2017-05-05;0.576426
NEO;2017-05-06;0.59035
