Naam;Datum;Prijs
STRAT;2017-01-01;0.075303
STRAT;2017-01-02;0.075801
STRAT;2017-01-03;0.076472
STRAT;2017-01-04;0.084885
STRAT;2017-01-05;0.086548
STRAT;2017-01-06;0.076102
STRAT;2017-01-07;0.064033
STRAT;2017-01-08;0.065208
STRAT;2017-01-09;0.059969
STRAT;2017-01-10;0.058804
STRAT;2017-01-11;0.058835
STRAT;2017-01-12;0.051301
STRAT;2017-01-13;0.052415
STRAT;2017-01-14;0.051908
STRAT;2017-01-15;0.051648
STRAT;2017-01-16;0.060532
STRAT;2017-01-17;0.062535
STRAT;2017-01-18;0.060681
STRAT;2017-01-19;0.077696
STRAT;2017-01-20;0.073279
STRAT;2017-01-21;0.076926
STRAT;2017-01-22;0.077366
STRAT;2017-01-23;0.094364
STRAT;2017-01-24;0.087053
STRAT;2017-01-25;0.081221
STRAT;2017-01-26;0.091128
STRAT;2017-01-27;0.114132
STRAT;2017-01-28;0.125399
STRAT;2017-01-29;0.108755
STRAT;2017-01-30;0.10824
STRAT;2017-01-31;0.102837
STRAT;2017-02-01;0.10106
STRAT;2017-02-02;0.097918
STRAT;2017-02-03;0.096592
STRAT;2017-02-04;0.097377
STRAT;2017-02-05;0.09102
STRAT;2017-02-06;0.096752
STRAT;2017-02-07;0.102484
STRAT;2017-02-08;0.098826
STRAT;2017-02-09;0.097714
STRAT;2017-02-10;0.089549
STRAT;2017-02-11;0.089112
STRAT;2017-02-12;0.082684
STRAT;2017-02-13;0.082192
STRAT;2017-02-14;0.078666
STRAT;2017-02-15;0.08879
STRAT;2017-02-16;0.08802
STRAT;2017-02-17;0.087892
STRAT;2017-02-18;0.083076
STRAT;2017-02-19;0.080745
STRAT;2017-02-20;0.082518
STRAT;2017-02-21;0.081409
STRAT;2017-02-22;0.083434
STRAT;2017-02-23;0.081645
STRAT;2017-02-24;0.079971
STRAT;2017-02-25;0.08301
STRAT;2017-02-26;0.086766
STRAT;2017-02-27;0.0818
STRAT;2017-02-28;0.080205
STRAT;2017-03-01;0.089359
STRAT;2017-03-02;0.102121
STRAT;2017-03-03;0.108012
STRAT;2017-03-04;0.102936
STRAT;2017-03-05;0.099697
STRAT;2017-03-06;0.098573
STRAT;2017-03-07;0.094208
STRAT;2017-03-08;0.08961
STRAT;2017-03-09;0.082267
STRAT;2017-03-10;0.083057
STRAT;2017-03-11;0.088702
STRAT;2017-03-12;0.097836
STRAT;2017-03-13;0.109308
STRAT;2017-03-14;0.105543
STRAT;2017-03-15;0.102132
STRAT;2017-03-16;0.096176
STRAT;2017-03-17;0.107788
STRAT;2017-03-18;0.119749
STRAT;2017-03-19;0.113646
STRAT;2017-03-20;0.130109
STRAT;2017-03-21;0.152415
STRAT;2017-03-22;0.140759
STRAT;2017-03-23;0.138148
STRAT;2017-03-24;0.132655
STRAT;2017-03-25;0.135959
STRAT;2017-03-26;0.19622
STRAT;2017-03-27;0.223377
STRAT;2017-03-28;0.191233
STRAT;2017-03-29;0.215974
STRAT;2017-03-30;0.214291
STRAT;2017-03-31;0.207285
STRAT;2017-04-01;0.263652
STRAT;2017-04-02;0.30673
STRAT;2017-04-03;0.350436
STRAT;2017-04-04;0.401183
STRAT;2017-04-05;0.545997
STRAT;2017-04-06;0.508891
STRAT;2017-04-07;0.473411
STRAT;2017-04-08;0.48853
STRAT;2017-04-09;0.462887
STRAT;2017-04-10;0.429549
STRAT;2017-04-11;0.433431
STRAT;2017-04-12;0.424775
STRAT;2017-04-13;0.54918
STRAT;2017-04-14;0.626694
STRAT;2017-04-15;0.750817
STRAT;2017-04-16;0.740796
STRAT;2017-04-17;0.691317
STRAT;2017-04-18;0.700032
STRAT;2017-04-19;0.75726
STRAT;2017-04-20;0.701159
STRAT;2017-04-21;0.698216
STRAT;2017-04-22;0.678386
STRAT;2017-04-23;0.642939
STRAT;2017-04-24;0.635381
STRAT;2017-04-25;0.635376
STRAT;2017-04-26;0.658377
STRAT;2017-04-27;0.643248
STRAT;2017-04-28;0.705423
STRAT;2017-04-29;0.729943
STRAT;2017-04-30;0.765318
STRAT;2017-05-01;0.812804
STRAT;2017-05-02;0.82059
STRAT;2017-05-03;1.06
STRAT;2017-05-04;1.16
STRAT;2017-05-05;1.34
STRAT;2017-05-06;1.26
STRAT;2017-05-07;1.24
STRAT;2017-05-08;1.22
STRAT;2017-05-09;1.22
STRAT;2017-05-10;1.37
STRAT;2017-05-11;1.38
STRAT;2017-05-12;1.37
STRAT;2017-05-13;1.29
STRAT;2017-05-14;1.32
STRAT;2017-05-15;1.28
STRAT;2017-05-16;1.26
STRAT;2017-05-17;1.3
STRAT;2017-05-18;1.42
STRAT;2017-05-19;1.75
STRAT;2017-05-20;2.01
STRAT;2017-05-21;2.15
STRAT;2017-05-22;2.1
STRAT;2017-05-23;3.24
STRAT;2017-05-24;3.43
STRAT;2017-05-25;3.5
STRAT;2017-05-26;3.43
STRAT;2017-05-27;3.17
STRAT;2017-05-28;3.21
STRAT;2017-05-29;4.02
STRAT;2017-05-30;5.99
STRAT;2017-05-31;6.39
STRAT;2017-06-01;6.12
STRAT;2017-06-02;9.21
STRAT;2017-06-03;11.68
STRAT;2017-06-04;10.85
STRAT;2017-06-05;11.26
STRAT;2017-06-06;11.1
STRAT;2017-06-07;11.13
STRAT;2017-06-08;9.76
STRAT;2017-06-09;10.54
STRAT;2017-06-10;8.83
STRAT;2017-06-11;9.61
STRAT;2017-06-12;9.61
STRAT;2017-06-13;9.55
STRAT;2017-06-14;10.08
STRAT;2017-06-15;8.4
