Naam;Datum;Prijs
XMR;2017-01-01;14.17
XMR;2017-01-02;16.47
XMR;2017-01-03;17.03
XMR;2017-01-04;18.64
XMR;2017-01-05;19.02
XMR;2017-01-06;16.93
XMR;2017-01-07;14.17
XMR;2017-01-08;13.91
XMR;2017-01-09;13.74
XMR;2017-01-10;14.03
XMR;2017-01-11;13.6
XMR;2017-01-12;12.19
XMR;2017-01-13;11.97
XMR;2017-01-14;11.72
XMR;2017-01-15;11.15
XMR;2017-01-16;10.96
XMR;2017-01-17;12.49
XMR;2017-01-18;12.7
XMR;2017-01-19;12.31
XMR;2017-01-20;12.17
XMR;2017-01-21;12.18
XMR;2017-01-22;12.19
XMR;2017-01-23;12.29
XMR;2017-01-24;12.25
XMR;2017-01-25;11.88
XMR;2017-01-26;12.15
XMR;2017-01-27;12.24
XMR;2017-01-28;13.04
XMR;2017-01-29;13.26
XMR;2017-01-30;12.91
XMR;2017-01-31;13.26
XMR;2017-02-01;13.38
XMR;2017-02-02;13.42
XMR;2017-02-03;13.15
XMR;2017-02-04;13.08
XMR;2017-02-05;12.99
XMR;2017-02-06;12.92
XMR;2017-02-07;13.2
XMR;2017-02-08;12.91
XMR;2017-02-09;12.98
XMR;2017-02-10;12.23
XMR;2017-02-11;12.39
XMR;2017-02-12;12.49
XMR;2017-02-13;12.36
XMR;2017-02-14;13.2
XMR;2017-02-15;13.74
XMR;2017-02-16;13.62
XMR;2017-02-17;13.34
XMR;2017-02-18;13.57
XMR;2017-02-19;13.38
XMR;2017-02-20;13.01
XMR;2017-02-21;12.42
XMR;2017-02-22;12.84
XMR;2017-02-23;12.94
XMR;2017-02-24;12.97
XMR;2017-02-25;12.14
XMR;2017-02-26;12.04
XMR;2017-02-27;12.06
XMR;2017-02-28;12.32
XMR;2017-03-01;12.9
XMR;2017-03-02;13.33
XMR;2017-03-03;14.61
XMR;2017-03-04;14.24
XMR;2017-03-05;15.42
XMR;2017-03-06;15.8
XMR;2017-03-07;15.43
XMR;2017-03-08;13.8
XMR;2017-03-09;13.53
XMR;2017-03-10;13.62
XMR;2017-03-11;14.76
XMR;2017-03-12;17.13
XMR;2017-03-13;19.32
XMR;2017-03-14;18.4
XMR;2017-03-15;19.69
XMR;2017-03-16;22.99
XMR;2017-03-17;26.21
XMR;2017-03-18;22.27
XMR;2017-03-19;24.61
XMR;2017-03-20;24.82
XMR;2017-03-21;23.05
XMR;2017-03-22;22.39
XMR;2017-03-23;22.49
XMR;2017-03-24;22.28
XMR;2017-03-25;21.28
XMR;2017-03-26;20.57
XMR;2017-03-27;20.1
XMR;2017-03-28;20.51
XMR;2017-03-29;21.34
XMR;2017-03-30;21.45
XMR;2017-03-31;21.2
XMR;2017-04-01;21.53
XMR;2017-04-02;21.5
XMR;2017-04-03;21.16
XMR;2017-04-04;21.51
XMR;2017-04-05;21.62
XMR;2017-04-06;19.95
XMR;2017-04-07;20.07
XMR;2017-04-08;21.46
XMR;2017-04-09;21.31
XMR;2017-04-10;22.41
XMR;2017-04-11;21.89
XMR;2017-04-12;22.11
XMR;2017-04-13;22.08
XMR;2017-04-14;21.8
XMR;2017-04-15;21.19
XMR;2017-04-16;20.82
XMR;2017-04-17;20.99
XMR;2017-04-18;21.17
XMR;2017-04-19;21.12
XMR;2017-04-20;20.9
XMR;2017-04-21;20.34
XMR;2017-04-22;20.52
XMR;2017-04-23;20.17
XMR;2017-04-24;20.11
XMR;2017-04-25;20.1
XMR;2017-04-26;19.93
XMR;2017-04-27;21.83
XMR;2017-04-28;22.53
XMR;2017-04-29;23.26
XMR;2017-04-30;24.2
XMR;2017-05-01;24.07
XMR;2017-05-02;23.2
XMR;2017-05-03;25.44
XMR;2017-05-04;26.52
XMR;2017-05-05;30.83
XMR;2017-05-06;29.94
XMR;2017-05-07;34.56
XMR;2017-05-08;33.81
XMR;2017-05-09;31.61
XMR;2017-05-10;30.67
XMR;2017-05-11;30.03
XMR;2017-05-12;30.29
XMR;2017-05-13;28.73
XMR;2017-05-14;29.16
XMR;2017-05-15;28.54
XMR;2017-05-16;27.73
XMR;2017-05-17;27.97
XMR;2017-05-18;31.11
XMR;2017-05-19;31.87
XMR;2017-05-20;36.78
XMR;2017-05-21;36.46
XMR;2017-05-22;41.18
XMR;2017-05-23;56.84
XMR;2017-05-24;58.64
XMR;2017-05-25;50.9
XMR;2017-05-26;44.61
XMR;2017-05-27;40.79
XMR;2017-05-28;39.39
XMR;2017-05-29;43.81
XMR;2017-05-30;45.65
XMR;2017-05-31;43.11
XMR;2017-06-01;45.52
XMR;2017-06-02;44.65
XMR;2017-06-03;44.42
XMR;2017-06-04;43.42
XMR;2017-06-05;48.5
XMR;2017-06-06;55.57
XMR;2017-06-07;62.38
XMR;2017-06-08;56.46
XMR;2017-06-09;57.23
XMR;2017-06-10;56.25
XMR;2017-06-11;58.7
XMR;2017-06-12;59.8
XMR;2017-06-13;52.87
XMR;2017-06-14;53.56
XMR;2017-06-15;47.02
XMR;2017-06-16;48.24
XMR;2017-06-17;51.2
XMR;2017-06-18;51.7
XMR;2017-06-19;50.67
XMR;2017-06-20;50.91
XMR;2017-06-21;48.91
XMR;2017-06-22;47.8
XMR;2017-06-23;52.51
XMR;2017-06-24;51.81
XMR;2017-06-25;48.73
XMR;2017-06-26;48.2
XMR;2017-06-27;44.05
XMR;2017-06-28;47.41
XMR;2017-06-29;47.91
XMR;2017-06-30;45.87
XMR;2017-07-01;43.98
XMR;2017-07-02;43
XMR;2017-07-03;44.14
XMR;2017-07-04;45.53
XMR;2017-07-05;46.9
XMR;2017-07-06;50.26
XMR;2017-07-07;50.65
XMR;2017-07-08;46.24
XMR;2017-07-09;47
XMR;2017-07-10;45.12
XMR;2017-07-11;40.73
XMR;2017-07-12;40.75
XMR;2017-07-13;40.74
XMR;2017-07-14;38.33
XMR;2017-07-15;35.57
XMR;2017-07-16;32.53
XMR;2017-07-17;34.98
XMR;2017-07-18;37.92
XMR;2017-07-19;37.59
XMR;2017-07-20;41.01
XMR;2017-07-21;41.43
XMR;2017-07-22;44.76
XMR;2017-07-23;44.78
XMR;2017-07-24;45.76
XMR;2017-07-25;45.84
XMR;2017-07-26;46.44
XMR;2017-07-27;46.74
XMR;2017-07-28;45.79
XMR;2017-07-29;44.37
XMR;2017-07-30;43.95
XMR;2017-07-31;40.68
XMR;2017-08-01;45.04
XMR;2017-08-02;44.78
XMR;2017-08-03;44.31
XMR;2017-08-04;45.32
XMR;2017-08-05;49.49
XMR;2017-08-06;49.18
XMR;2017-08-07;50.21
XMR;2017-08-08;52.64
XMR;2017-08-09;53.34
XMR;2017-08-10;51.29
XMR;2017-08-11;51.56
XMR;2017-08-12;51.57
XMR;2017-08-13;50.15
XMR;2017-08-14;49.75
XMR;2017-08-15;50.16
XMR;2017-08-16;49.09
XMR;2017-08-17;49.46
XMR;2017-08-18;48.93
XMR;2017-08-19;58.03
XMR;2017-08-20;56.05
XMR;2017-08-21;95.08
XMR;2017-08-22;95.51
XMR;2017-08-23;99.71
XMR;2017-08-24;93.77
XMR;2017-08-25;108.36
XMR;2017-08-26;148.36
XMR;2017-08-27;138.88
XMR;2017-08-28;154.58
XMR;2017-08-29;144.5
XMR;2017-08-30;135.83
XMR;2017-08-31;141.97
XMR;2017-09-01;150.09
XMR;2017-09-02;141.4
XMR;2017-09-03;129.29
XMR;2017-09-04;126.23
XMR;2017-09-05;122.63
XMR;2017-09-06;122.31
XMR;2017-09-07;124.76
XMR;2017-09-08;132.57
XMR;2017-09-09;119.73
XMR;2017-09-10;115.77
XMR;2017-09-11;116.24
XMR;2017-09-12;115.69
XMR;2017-09-13;113.16
XMR;2017-09-14;120.39
XMR;2017-09-15;103.69
XMR;2017-09-16;106.12
XMR;2017-09-17;96.36
XMR;2017-09-18;102.02
XMR;2017-09-19;101.28
XMR;2017-09-20;98.09
XMR;2017-09-21;95.75
XMR;2017-09-22;89.54
XMR;2017-09-23;92.12
XMR;2017-09-24;91.81
XMR;2017-09-25;94.23
XMR;2017-09-26;95.31
XMR;2017-09-27;102.91
XMR;2017-09-28;101.14
XMR;2017-09-29;97.78
XMR;2017-09-30;96.33
XMR;2017-10-01;95.74
XMR;2017-10-02;93.8
