Naam;Datum;Prijs
DASH;2017-01-01;11.49
DASH;2017-01-02;11.96
DASH;2017-01-03;13.05
DASH;2017-01-04;16.96
DASH;2017-01-05;17.11
DASH;2017-01-06;14.87
DASH;2017-01-07;12.59
DASH;2017-01-08;13.12
DASH;2017-01-09;12.6
DASH;2017-01-10;12.65
DASH;2017-01-11;12.8
DASH;2017-01-12;12.53
DASH;2017-01-13;12.66
DASH;2017-01-14;12.66
DASH;2017-01-15;12.55
DASH;2017-01-16;13.08
DASH;2017-01-17;14.41
DASH;2017-01-18;14.3
DASH;2017-01-19;15.28
DASH;2017-01-20;15.48
DASH;2017-01-21;15.37
DASH;2017-01-22;15.52
DASH;2017-01-23;15.32
DASH;2017-01-24;15.11
DASH;2017-01-25;14.61
DASH;2017-01-26;15.05
DASH;2017-01-27;15.41
DASH;2017-01-28;15.36
DASH;2017-01-29;15.65
DASH;2017-01-30;16.03
DASH;2017-01-31;16.22
DASH;2017-02-01;16.24
DASH;2017-02-02;16.41
DASH;2017-02-03;17.61
DASH;2017-02-04;17.74
DASH;2017-02-05;17.67
DASH;2017-02-06;17.24
DASH;2017-02-07;17.51
DASH;2017-02-08;17.4
DASH;2017-02-09;17.6
DASH;2017-02-10;16.89
DASH;2017-02-11;17.22
DASH;2017-02-12;17.15
DASH;2017-02-13;17.05
DASH;2017-02-14;18.37
DASH;2017-02-15;19.66
DASH;2017-02-16;19.81
DASH;2017-02-17;20.15
DASH;2017-02-18;21.53
DASH;2017-02-19;23.73
DASH;2017-02-20;22.94
DASH;2017-02-21;22.1
DASH;2017-02-22;22.19
DASH;2017-02-23;25.23
DASH;2017-02-24;29.38
DASH;2017-02-25;27.11
DASH;2017-02-26;28.23
DASH;2017-02-27;28.64
DASH;2017-02-28;33.38
DASH;2017-03-01;46.75
DASH;2017-03-02;58.9
DASH;2017-03-03;51.4
DASH;2017-03-04;48.81
DASH;2017-03-05;44.82
DASH;2017-03-06;47.33
DASH;2017-03-07;46.92
DASH;2017-03-08;45.6
DASH;2017-03-09;53.38
DASH;2017-03-10;54.72
DASH;2017-03-11;74.11
DASH;2017-03-12;80.79
DASH;2017-03-13;81.03
DASH;2017-03-14;91.39
DASH;2017-03-15;101.76
DASH;2017-03-16;99.21
DASH;2017-03-17;100.04
DASH;2017-03-18;120.52
DASH;2017-03-19;113.92
DASH;2017-03-20;110.66
DASH;2017-03-21;104.21
DASH;2017-03-22;111.16
DASH;2017-03-23;103.43
DASH;2017-03-24;108.86
DASH;2017-03-25;99.42
DASH;2017-03-26;95.58
DASH;2017-03-27;93.98
DASH;2017-03-28;90.63
DASH;2017-03-29;88.04
DASH;2017-03-30;84.75
DASH;2017-03-31;81.75
DASH;2017-04-01;74.3
DASH;2017-04-02;71.2
DASH;2017-04-03;65.87
DASH;2017-04-04;71.84
DASH;2017-04-05;77.6
DASH;2017-04-06;74.45
DASH;2017-04-07;69.96
DASH;2017-04-08;68.89
DASH;2017-04-09;68.29
DASH;2017-04-10;65.4
DASH;2017-04-11;62.5
DASH;2017-04-12;68.48
DASH;2017-04-13;76.26
DASH;2017-04-14;73.54
DASH;2017-04-15;77.79
DASH;2017-04-16;76.76
DASH;2017-04-17;75.97
DASH;2017-04-18;76.22
DASH;2017-04-19;75.63
DASH;2017-04-20;72.74
DASH;2017-04-21;72.8
DASH;2017-04-22;72.52
DASH;2017-04-23;72.24
DASH;2017-04-24;72.22
DASH;2017-04-25;72.94
DASH;2017-04-26;72.23
DASH;2017-04-27;80.62
DASH;2017-04-28;80.93
DASH;2017-04-29;100.46
DASH;2017-04-30;97.13
