Naam;Datum;Prijs
XRP;2017-01-01;0.006702
XRP;2017-01-02;0.006437
XRP;2017-01-03;0.006392
XRP;2017-01-04;0.006656
XRP;2017-01-05;0.00658
XRP;2017-01-06;0.006394
XRP;2017-01-07;0.006404
XRP;2017-01-08;0.006383
XRP;2017-01-09;0.006294
XRP;2017-01-10;0.006815
XRP;2017-01-11;0.006721
XRP;2017-01-12;0.006851
XRP;2017-01-13;0.006664
XRP;2017-01-14;0.006872
XRP;2017-01-15;0.006925
XRP;2017-01-16;0.006836
XRP;2017-01-17;0.006848
XRP;2017-01-18;0.007125
XRP;2017-01-19;0.00704
XRP;2017-01-20;0.00716
XRP;2017-01-21;0.006824
XRP;2017-01-22;0.006759
XRP;2017-01-23;0.006735
XRP;2017-01-24;0.006718
XRP;2017-01-25;0.006594
XRP;2017-01-26;0.007073
XRP;2017-01-27;0.006815
XRP;2017-01-28;0.006419
XRP;2017-01-29;0.006493
XRP;2017-01-30;0.006468
XRP;2017-01-31;0.006411
XRP;2017-02-01;0.006642
XRP;2017-02-02;0.00663
XRP;2017-02-03;0.00651
XRP;2017-02-04;0.006528
XRP;2017-02-05;0.006563
XRP;2017-02-06;0.006494
XRP;2017-02-07;0.006509
XRP;2017-02-08;0.007833
XRP;2017-02-09;0.006484
XRP;2017-02-10;0.0067
XRP;2017-02-11;0.006395
XRP;2017-02-12;0.006364
XRP;2017-02-13;0.006338
XRP;2017-02-14;0.006352
XRP;2017-02-15;0.006302
XRP;2017-02-16;0.006244
XRP;2017-02-17;0.006095
XRP;2017-02-18;0.006014
XRP;2017-02-19;0.005892
XRP;2017-02-20;0.005949
XRP;2017-02-21;0.005909
XRP;2017-02-22;0.005887
XRP;2017-02-23;0.005943
XRP;2017-02-24;0.005919
XRP;2017-02-25;0.005743
XRP;2017-02-26;0.005733
XRP;2017-02-27;0.005696
XRP;2017-02-28;0.005631
XRP;2017-03-01;0.005547
XRP;2017-03-02;0.006217
XRP;2017-03-03;0.006346
XRP;2017-03-04;0.006497
XRP;2017-03-05;0.006389
XRP;2017-03-06;0.006221
XRP;2017-03-07;0.006577
XRP;2017-03-08;0.006776
XRP;2017-03-09;0.006606
XRP;2017-03-10;0.006546
XRP;2017-03-11;0.006383
XRP;2017-03-12;0.006313
XRP;2017-03-13;0.006429
XRP;2017-03-14;0.006406
XRP;2017-03-15;0.0065
XRP;2017-03-16;0.006409
XRP;2017-03-17;0.006406
XRP;2017-03-18;0.007396
XRP;2017-03-19;0.007198
XRP;2017-03-20;0.007112
XRP;2017-03-21;0.007075
XRP;2017-03-22;0.00746
XRP;2017-03-23;0.010582
XRP;2017-03-24;0.010825
XRP;2017-03-25;0.010711
XRP;2017-03-26;0.00984
XRP;2017-03-27;0.010053
XRP;2017-03-28;0.009644
XRP;2017-03-29;0.010101
XRP;2017-03-30;0.014126
XRP;2017-03-31;0.021776
XRP;2017-04-01;0.022798
XRP;2017-04-02;0.071441
XRP;2017-04-03;0.061594
XRP;2017-04-04;0.040702
XRP;2017-04-05;0.040178
XRP;2017-04-06;0.036843
XRP;2017-04-07;0.036935
XRP;2017-04-08;0.036894
XRP;2017-04-09;0.035799
XRP;2017-04-10;0.035091
XRP;2017-04-11;0.034576
XRP;2017-04-12;0.034794
